cam;year;month;day;hour;min;r;g;b;h;s;v;tot;r_pc;g_pc;b_pc;r_ex;g_ex;b_ex;n_rg_d;n_rb_d;n_gb_d
2;16;2;6;10;55;126.241441906653;129.190118669315;126.268076961271;134.307210526316;8.4118093346574;0;381.699637537239;-1.1089475910518;-1.08319687156221;-1.10784593055617;-2.97531181727905;5.87071847070506;-2.89540665342602;-0.012859281042134;-0.000543446405294;0.012315039677166
2;16;2;6;13;55;121.692556603774;127.408276564052;131.850383316783;201.419215491559;12.8492730883813;0;380.951216484608;-1.15288940164413;-1.09702821247115;-1.05380025859433;-15.873546673287;1.27361320754717;14.5999334657398;-0.028069577087885;-0.049557119674304;-0.021588852054954
2;16;2;6;16;55;122.965045680238;124.939322740814;128.148278550149;181.471359483615;9.2304448857994;0;376.052646971202;-1.11933723154642;-1.10363218848468;-1.07585548531665;-7.15750993048659;-1.23467874875869;8.39218867924528;-0.007596190084748;-0.021846215721036;-0.014170818423431
2;16;2;7;10;55;122.769505958292;126.973249751738;121.535791459782;148.760434955313;11.2776921549156;0;371.278547169811;-1.10553232702073;-1.07441587186274;-1.11981617538925;-2.97002929493545;9.64120208540219;-6.67117279046673;-0.016125851336299;0.007474287526199;0.023449400217011
2;16;2;7;13;55;123.047724428997;126.517930983118;122.528540714995;137.564861469712;9.55618421052632;0;372.09419612711;-1.10609384370089;-1.08044958968764;-1.11377873581005;-2.95102284011917;7.45959682224429;-4.50857398212512;-0.012873527037484;0.003854664427922;0.016685136703803
2;16;2;7;16;55;126.290509930487;124.749102284012;127.06819612711;188.51767775571;9.42812015888779;0;378.107808341609;-1.09546110697986;-1.11286995342074;-1.09132379506776;0.763721449851043;-3.86050148957299;3.09678003972195;0.008956386622078;-0.002000368767851;-0.010942627055313
2;16;2;8;10;55;126.471926017875;127.289516385303;121.514216484608;148.689961271102;10.6755640516385;0;375.275658887785;-1.08561198139104;-1.08462184645276;-1.13116636991097;4.14011916583913;6.59289026812314;-10.7330094339623;-0.000530366419797;0.022890739409235;0.023362827546106
2;16;2;8;13;55;129.593135054618;127.413180734856;121.836652432969;151.789063555114;11.834368917577;0;378.842968222443;-1.06956398614808;-1.09422950851387;-1.13826763160699;9.93643694141013;3.39657398212512;-13.3330109235353;0.012247374061477;0.034392070202966;0.022130254656906
2;16;2;8;16;55;123.795587388282;126.770095332671;128.012656405164;170.241419066534;10.0867944389275;0;378.578339126117;-1.11853913968492;-1.09806615785994;-1.08420511869165;-7.1915769612711;1.73194687189672;5.45963008937438;-0.010431017661473;-0.017155290064031;-0.006823590771473
2;16;2;9;10;55;126.770393247269;126.476722939424;122.159101787488;158.412519364449;11.436457795432;0;375.406217974181;-1.08066661530593;-1.09134818827041;-1.12595022561351;4.90496176762661;4.02395084409136;-8.92891261171797;0.005396202353392;0.024047717192446;0.018595242471097
