cam;year;month;day;hour;min;r;g;b;h;s;v;tot;r_pc;g_pc;b_pc;r_ex;g_ex;b_ex;n_rg_d;n_rb_d;n_gb_d;flower
1;16;7;2;13;55;130.171000496524;131.393531281033;126.547353525323;151.56423386295901;10.7365506454816;0;388.11188530287995;-1.09906597151663;-1.08359958896697;-1.11866027856702;2.40111618669315;6.06870854021847;-8.46982472691162;-0.007756917938089001;0.009746082687552;0.017461511532267;0
1;16;7;2;16;55;126.76856802383301;127.652771598808;130.238612711023;192.99041360476699;10.0249384309831;0;384.659952333664;-1.11438284994822;-1.10612250203337;-1.07970365209288;-4.35424826216485;-1.70163753723932;6.05588579940417;-0.004149763800589;-0.017319241371124998;-0.013198660066319999;0
1;16;7;3;10;55;127.785882323734;130.814238331678;126.115483118173;154.29044836147;10.282957795432;0;384.715603773585;-1.1069886092382801;-1.07877065948058;-1.11461616987416;-1.35795680238332;7.727111221449849;-6.369154419066531;-0.014102259033017;0.00380513824699;0.017879517759543;0
1;16;7;3;13;55;127.54563257199601;127.00953674280001;131.468527805362;197.055911122145;11.0393291956306;0;386.023697120159;-1.11287907002079;-1.1160705100845;-1.0721386883375899;-3.3867994041708;-4.9950868917577;8.3818862959285;0.00151389166724;-0.020360932987404;-0.021925813845858;0
1;16;7;3;16;55;128.271043694141;129.16175571003;126.623085402185;163.52648857994;9.787398212512409;0;384.05588480635595;-1.1012718919410602;-1.0912356737031899;-1.10760805679963;0.7572462760675269;3.4293823237338596;-4.186628599801391;-0.005034978315194;0.0031566391396140006;0.008162713738925999;0
1;16;7;4;10;55;127.715260675273;128.837330685204;130.236445382324;185.768186693148;9.99624478649454;0;386.78903674279996;-1.1127483419025501;-1.10140319325316;-1.0858448477305;-3.64325471698113;-0.277044687189672;3.9202994041708;-0.005691162866058;-0.01342807146611;-0.0077721301443909995;0
1;16;7;4;13;55;130.364998510427;131.423378848064;126.752775074479;157.50992601787502;10.8772338629593;0;388.541152432969;-1.09815397292176;-1.08562739963126;-1.11781043978509;2.5538430983118197;5.72898411122145;-8.28282720953327;-0.006281128784401;0.009787127744325;0.016011493559615;0
1;16;7;4;16;55;127.76964846077499;128.368346077458;128.646285004965;185.51883167825198;11.2119245283019;0;384.784279543198;-1.10847088868183;-1.1028733384956202;-1.09035950785299;-1.4753341608738797;0.32075868917577;1.15457547169811;-0.002820739317165;-0.009063152293956999;-0.006305721785185001;0
1;16;7;5;10;55;128.497647467726;129.683971201589;127.708991559086;169.551465243297;9.75198411122145;0;385.89061022840104;-1.10400871291055;-1.09162903268714;-1.10428763396597;-0.3976678252234361;3.16130337636544;-2.7636355511420096;-0.00620960368929;0.000132118079282;0.006307416149247;0
1;16;7;5;13;55;127.35130436941401;129.82691509434;129.59515739821302;179.830427507448;10.532190168818302;0;386.773376861966;-1.1161402085309098;-1.09363646336925;-1.09075590281077;-4.71946375372393;2.70736842105263;2.0120953326713003;-0.011259644711995002;-0.012670387696216999;-0.0014535502269499999;0
